policy_id,entry_type,correct_type,update_type,update_level,date_announced,date_start,date_end,country,init_country_level,type,type_sub_cat
3144269,new_entry,original,,,2020-03-22,2020-03-24,2020-04-26,Australia,Provincial,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below)
3144269,new_entry,original,,,2020-03-22,2020-03-24,2020-04-26,Australia,Provincial,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18)
3144269,new_entry,original,,,2020-03-22,2020-03-24,2020-04-26,Australia,Provincial,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions)
4610550,new_entry,original,,,2020-04-02,2020-04-06,2020-06-30,Australia,National,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below)
4610550,update,original,Change of Policy,Strengthening,2020-04-02,2020-04-06,2020-07-12,Australia,National,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below)
9444276,new_entry,original,,,2020-02-26,2020-02-26,2020-02-27,Australia,National,COVID-19 Vaccines,Resources for research and development of a COVID-19 vaccine
4531517,new_entry,original,,,2020-01-29,2020-01-29,2020-12-31,Australia,Provincial,Declaration of Emergency,
6548819,new_entry,original,,,2020-03-15,2020-03-15,2020-03-29,Australia,Provincial,Declaration of Emergency,
4668893,new_entry,original,,,2020-03-16,2020-03-16,2020-04-12,Australia,Provincial,Declaration of Emergency,
2841861,new_entry,original,,,2020-03-16,2020-03-16,2020-04-13,Australia,Provincial,Declaration of Emergency,
4668893,update,original,Change of Policy,Strengthening,2020-03-16,2020-03-16,2020-06-21,Australia,Provincial,Declaration of Emergency,
4668893,update,original,Change of Policy,Strengthening,2020-03-16,2020-03-16,2020-07-19,Australia,Provincial,Declaration of Emergency,
4668893,update,original,Change of Policy,Strengthening,2020-03-16,2020-03-16,2020-09-14,Australia,Provincial,Declaration of Emergency,
8782298,update,original,Change of Policy,Strengthening,2020-03-20,2020-03-21,2020-03-23,Australia,Provincial,Declaration of Emergency,
5780481,update,original,Change of Policy,Strengthening,2020-03-22,2020-03-22,2020-05-30,Australia,Provincial,Declaration of Emergency,
5780481,update,original,Change of Policy,Strengthening,2020-03-22,2020-03-22,2020-06-27,Australia,Provincial,Declaration of Emergency,
5780481,update,original,Change of Policy,Strengthening,2020-03-22,2020-03-22,2020-07-25,Australia,Provincial,Declaration of Emergency,
5780481,update,original,Change of Policy,Strengthening,2020-03-22,2020-03-22,2020-08-22,Australia,Provincial,Declaration of Emergency,
5780481,update,original,Change of Policy,Strengthening,2020-03-22,2020-03-22,2020-09-19,Australia,Provincial,Declaration of Emergency,
5780481,update,original,Change of Policy,Strengthening,2020-03-22,2020-03-22,2020-10-17,Australia,Provincial,Declaration of Emergency,
5780481,update,original,Change of Policy,Strengthening,2020-03-22,2020-03-22,2020-11-14,Australia,Provincial,Declaration of Emergency,
4650800,update,original,Change of Policy,Strengthening,2020-03-20,2020-03-23,2020-03-27,Australia,Provincial,Declaration of Emergency,
8782298,update,original,Change of Policy,Strengthening,2020-03-22,2020-03-23,2020-03-25,Australia,Provincial,Declaration of Emergency,
8782298,update,original,Change of Policy,Strengthening,2020-03-26,2020-03-27,2020-03-29,Australia,Provincial,Declaration of Emergency,
4650800,update,original,Change of Policy,Strengthening,2020-03-27,2020-03-28,2020-06-25,Australia,Provincial,Declaration of Emergency,
8782298,update,original,Change of Policy,Strengthening,2020-03-28,2020-03-29,2020-03-31,Australia,Provincial,Declaration of Emergency,
8782298,update,original,Change of Policy,Strengthening,2020-03-30,2020-03-31,2020-04-02,Australia,Provincial,Declaration of Emergency,
8782298,update,original,Change of Policy,Strengthening,2020-04-01,2020-04-02,2020-04-04,Australia,Provincial,Declaration of Emergency,
8782298,update,original,Change of Policy,Strengthening,2020-04-03,2020-04-04,2020-04-06,Australia,Provincial,Declaration of Emergency,
8782298,update,original,Change of Policy,Strengthening,2020-04-05,2020-04-06,2020-04-08,Australia,Provincial,Declaration of Emergency,
8782298,update,original,,Strengthening,2020-04-08,2020-04-08,2020-07-07,Australia,Provincial,Declaration of Emergency,
9922826,new_entry,original,,,2020-04-12,2020-04-13,2020-05-11,Australia,Provincial,Declaration of Emergency,
5020581,new_entry,original,,,2020-05-11,2020-05-11,2020-05-31,Australia,Provincial,Declaration of Emergency,
4668893,update,original,Change of Policy,Strengthening,2020-05-11,2020-05-12,2020-05-31,Australia,Provincial,Declaration of Emergency,
3703118,new_entry,original,,,2020-05-31,2020-05-31,2020-06-21,Australia,Provincial,Declaration of Emergency,
6796297,update,original,Change of Policy,Strengthening,2020-05-14,2020-06-18,2020-09-17,Australia,National,Declaration of Emergency,
6805583,new_entry,original,,,2020-06-21,2020-06-21,2020-07-19,Australia,Provincial,Declaration of Emergency,
4650800,update,original,Change of Policy,Strengthening,2020-06-23,2020-06-26,2020-09-23,Australia,Provincial,Declaration of Emergency,
2266519,new_entry,original,,,2020-07-19,2020-07-19,2020-08-16,Australia,Provincial,Declaration of Emergency,
6201891,new_entry,original,,,2020-08-16,2020-08-16,2020-09-13,Australia,Provincial,Declaration of Emergency,
6776768,new_entry,original,,,2020-09-13,2020-09-13,2020-10-11,Australia,Provincial,Declaration of Emergency,
6796297,update,original,Change of Policy,Strengthening,2020-09-03,2020-09-17,2020-12-17,Australia,National,Declaration of Emergency,
4650800,update,original,Change of Policy,Strengthening,2020-09-23,2020-09-24,2021-01-21,Australia,Provincial,Declaration of Emergency,
2130477,new_entry,original,,,2020-10-11,2020-10-11,2020-11-08,Australia,Provincial,Declaration of Emergency,
6478715,new_entry,original,,,2020-11-08,2020-11-08,2020-12-06,Australia,Provincial,Declaration of Emergency,
6796297,update,original,Change of Policy,Strengthening,2020-12-08,2020-12-17,2021-03-17,Australia,National,Declaration of Emergency,
6226562,update,original,End of Policy,,2020-01-24,2020-01-24,2020-01-24,Australia,National,External Border Restrictions,Total border crossing ban
8416733,update,original,Change of Policy,Strengthening,2020-02-13,2020-02-15,2020-02-22,Australia,National,External Border Restrictions,Travel History Form (e.g. documents where traveler has recently been)
8416733,update,original,Change of Policy,Strengthening,2020-02-20,2020-02-22,2020-02-29,Australia,National,External Border Restrictions,Travel History Form (e.g. documents where traveler has recently been)
4185474,new_entry,original,,,2020-02-29,2020-03-01,2020-03-15,Australia,National,External Border Restrictions,Total border crossing ban
3738025,update,original,End of Policy,,2020-03-05,2020-03-05,2020-03-05,Australia,National,External Border Restrictions,Total border crossing ban
8502909,update,original,End of Policy,,2020-03-05,2020-03-05,2020-03-05,Australia,National,External Border Restrictions,Total border crossing ban
9657554,update,original,End of Policy,,2020-03-05,2020-03-05,2020-03-05,Australia,National,External Border Restrictions,Total border crossing ban
4185474,update,original,Change of Policy,Strengthening,2020-03-12,2020-03-15,2020-03-19,Australia,National,External Border Restrictions,Total border crossing ban
3618530,update,original,End of Policy,,2020-03-15,2020-03-15,2020-03-15,Australia,National,External Border Restrictions,Total border crossing ban
4162602,new_entry,original,,,2020-03-16,2020-03-16,2020-04-15,Australia,National,External Border Restrictions,Other External Border Restriction
6494238,update,original,End of Policy,,2020-03-18,2020-03-18,2020-03-18,Australia,National,External Border Restrictions,Total border crossing ban
9025133,new_entry,original,,,2020-03-24,2020-03-24,2020-03-29,Australia,Provincial,External Border Restrictions,Health Screenings (e.g. temperature checks)
9025133,new_entry,original,,,2020-03-24,2020-03-24,2020-03-29,Australia,Provincial,External Border Restrictions,Health Certificates
9025133,new_entry,original,,,2020-03-24,2020-03-24,2020-03-29,Australia,Provincial,External Border Restrictions,Travel History Form (e.g. documents where traveler has recently been)
7183142,update,original,End of Policy,,2020-03-25,2020-03-25,2020-03-25,Australia,National,External Border Restrictions,Total border crossing ban
9359564,new_entry,original,,,2020-03-27,2020-03-27,2020-06-15,Australia,National,External Border Restrictions,Other External Border Restriction
8446498,new_entry,original,,,2020-03-28,2020-03-29,2020-04-16,Australia,Provincial,External Border Restrictions,Health Screenings (e.g. temperature checks)
8446498,new_entry,original,,,2020-03-28,2020-03-29,2020-04-16,Australia,Provincial,External Border Restrictions,Health Certificates
8446498,new_entry,original,,,2020-03-28,2020-03-29,2020-04-16,Australia,Provincial,External Border Restrictions,Travel History Form (e.g. documents where traveler has recently been)
4162602,update,original,Change of Policy,Strengthening,2020-03-27,2020-04-15,2020-06-15,Australia,National,External Border Restrictions,Other External Border Restriction
8803222,new_entry,original,,,2020-04-16,2020-04-16,2020-05-11,Australia,Provincial,External Border Restrictions,Health Certificates
8803222,new_entry,original,,,2020-04-16,2020-04-16,2020-05-11,Australia,Provincial,External Border Restrictions,Travel History Form (e.g. documents where traveler has recently been)
9991399,new_entry,original,,,2020-05-09,2020-05-11,2020-06-16,Australia,Provincial,External Border Restrictions,Health Certificates
9991399,new_entry,original,,,2020-05-09,2020-05-11,2020-06-16,Australia,Provincial,External Border Restrictions,Travel History Form (e.g. documents where traveler has recently been)
2143540,new_entry,original,,,2020-06-16,2020-06-17,2020-06-20,Australia,Provincial,External Border Restrictions,Health Certificates
2143540,new_entry,original,,,2020-06-16,2020-06-17,2020-06-20,Australia,Provincial,External Border Restrictions,Travel History Form (e.g. documents where traveler has recently been)
9235661,new_entry,original,,,2020-06-19,2020-06-20,2020-07-09,Australia,Provincial,External Border Restrictions,Health Certificates
9235661,new_entry,original,,,2020-06-19,2020-06-20,2020-07-09,Australia,Provincial,External Border Restrictions,Travel History Form (e.g. documents where traveler has recently been)
4727735,update,original,End of Policy,,2020-07-10,2020-07-13,2020-08-07,Australia,National,External Border Restrictions,Other External Border Restriction
357126,new_entry,original,,,2020-08-07,2020-08-07,2020-10-24,Australia,National,External Border Restrictions,Other External Border Restriction
4162602,update,original,Change of Policy,Strengthening,2020-09-03,2020-09-17,2020-12-17,Australia,National,External Border Restrictions,Other External Border Restriction
9359564,update,original,Change of Policy,Strengthening,2020-09-03,2020-09-17,2020-12-17,Australia,National,External Border Restrictions,Other External Border Restriction
9564981,update,original,Change of Policy,Strengthening,2020-10-01,2020-10-02,2021-01-02,Australia,Provincial,External Border Restrictions,Total border crossing ban
4162602,update,original,Change of Policy,Strengthening,2020-12-08,2020-12-17,2021-03-17,Australia,National,External Border Restrictions,Other External Border Restriction
9359564,update,original,Change of Policy,Strengthening,2020-12-08,2020-12-17,2021-03-17,Australia,National,External Border Restrictions,Other External Border Restriction
6457532,update,original,,,2020-03-29,2020-03-29,2020-09-30,Australia,National,Health Resources,Other Health Infrastructure
6602530,update,original,End of Policy,,2020-03-31,2020-03-31,2020-04-01,Australia,Provincial,Health Resources,Other Health Infrastructure
1506621,new_entry,original,,,2020-04-01,2020-04-01,2020-12-31,Australia,Provincial,Health Resources,Masks
1506621,new_entry,original,,,2020-04-01,2020-04-01,2020-12-31,Australia,Provincial,Health Resources,Personal Protective Equipment
1506621,new_entry,original,,,2020-04-01,2020-04-01,2020-12-31,Australia,Provincial,Health Resources,Hand Sanitizer
1506621,new_entry,original,,,2020-04-01,2020-04-01,2020-12-31,Australia,Provincial,Health Resources,Other Health Materials
1506621,update,original,End of Policy,,2020-04-01,2020-04-01,2020-07-21,Australia,Provincial,Health Resources,Masks
